title,pub_year,fcs_author
Why care for someone else’s child? Testing adaptive hypotheses in Agta foragers,2019,['Gul Deniz Salali']
High-resolution maps of hunter-gatherer social networks reveal human adaptation for cultural exchange,2016,['Gul Deniz Salali']
Effective incentives for increasing COVID-19 vaccine uptake,2021,['Gul Deniz Salali']
Out of balance: the role of evolutionary mismatches in the sex disparity in autoimmune disease,2021,['Gul Deniz Salali']
Adaptive function and correlates of anxiety during a pandemic,2021,['Gul Deniz Salali']
"WHY SOME HESITATE MORE: CROSS-CULTURAL VARIATION IN CONSPIRACY BELIEFS, BELIEF IN SCIENCE, AND VACCINE ATTITUDES",2021,['Gul Deniz Salali']
"Cooperative breeding among Agta foragers: How reproduction, health and transition intersect today",2016,['Gul Deniz Salali']
Bitter taste perception in BaYaka hunter-gatherers,2021,['Gul Deniz Salali']
Quantifying patterns of alcohol consumption and its effects on health and wellbeing among BaYaka hunter-gatherers: A mixed-methods cross-sectional study,2021,['Gul Deniz Salali']
Data from: Polygyny without wealth: popularity in gift games predicts polygyny in BaYaka Pygmies,2018,['Gul Deniz Salali']
Social structure and knowledge sharing networks in hunter-gatherers: A case study on the plant knowledge of the Mbendjele BaYaka Pygmies,2017,['Gul Deniz Salali']
Data from: Camp stability predicts patterns of hunter–gatherer cooperation,2016,['Gul Deniz Salali']
Our better nature: Does resource stress predict beyond-household sharing?,2018,['Erik Ringen']
The evolution of daily food sharing: A Bayesian phylogenetic analysis,2019,['Erik Ringen']
Harsh environments promote alloparental care across human societies,2020,['Erik Ringen']
Resource stress and subsistence diversification across societies,2020,['Erik Ringen']
Novel phylogenetic methods reveal that resource-use intensification drives the evolution of “complex” societies,2021,['Erik Ringen']
"Daily food sharing in nonindustrial societies: Effects of subsistence ecology, food storage technology, and spatial/phylogenetic distance",2018,['Erik Ringen']
Ethnic Markers without Ethnic Conflict,2021,['Erik Ringen']
Using niche construction theory to generate testable foraging hypotheses at Liang Bua,2021,['Erik Ringen']
Ecological predictors of allomaternal care across human societies,2019,['Erik Ringen']
Gut microbiome of the Hadza hunter-gatherers,2014,['Alyssa Crittenden']
A red meat-derived glycan promotes inflammation and cancer progression,2015,['Alyssa Crittenden']
Small-scale societies exhibit fundamental variation in the role of intentions in moral judgment,2016,['Alyssa Crittenden']
Metagenome sequencing of the Hadza hunter-gatherer gut microbiota,2015,['Alyssa Crittenden']
Allomaternal care among the Hadza of Tanzania,2008,['Alyssa Crittenden']
Old stones' song: use-wear experiments and analysis of the Oldowan quartz and quartzite assemblage from Kanjera South (Kenya),2014,['Alyssa Crittenden']
The importance of honey consumption in human evolution,2011,['Alyssa Crittenden']
Current views on hunter‐gatherer nutrition and the evolution of the human diet,2017,['Alyssa Crittenden']
Juvenile foraging among the Hadza: Implications for human life history,2013,['Alyssa Crittenden']
"Honey, Hadza, hunter-gatherers, and human evolution",2014,['Alyssa Crittenden']
Fecal metabolome of the Hadza hunter-gatherers: a host-microbiome integrative view,2016,['Alyssa Crittenden']
Food sharing among Hadza hunter-gatherer children,2015,['Alyssa Crittenden']
Hadza sleep biology: Evidence for flexible sleep‐wake patterns in hunter‐gatherers,2017,['Alyssa Crittenden']
Chronotype variation drives night-time sentinel-like behaviour in hunter–gatherers,2017,['Alyssa Crittenden']
Children’s foraging and play among the Hadza,2016,['Alyssa Crittenden']
Sex differences in spatial cognition among Hadza foragers,2012,['Alyssa Crittenden']
Gut microbiome of the Hadza hunter-gatherers. Nat Commun 5: 3654,2014,['Alyssa Crittenden']
Sex differences in Hadza eating frequency by food type,2011,['Alyssa Crittenden']
Oral health in transition: The Hadza foragers of Tanzania,2017,['Alyssa Crittenden']
"Eat first, share later: Hadza hunter–gatherer men consume more while foraging than in central places",2016,['Alyssa Crittenden']
"Hunter-gatherer males are more risk-seeking than females, even in late childhood",2017,['Alyssa Crittenden']
"Father Darwin: Effects of Children on Men, Viewed from an Evolutionary Perspective.",2014,['Alyssa Crittenden']
Patterns of paternal investment predict cross-cultural variation in jealous response,2020,['Alyssa Crittenden']
Cooperative child care among the Hadza: situating multiple attachment in evolutionary context,2013,['Alyssa Crittenden']
"Childhood: Origins, evolution, and implications",2016,['Alyssa Crittenden']
Ethnobotany in evolutionary perspective: wild plants in diet composition and daily use among Hadza hunter-gatherers,2016,['Alyssa Crittenden']
Assessing digestibility of Hadza tubers using a dynamic in‐vitro model,2015,['Alyssa Crittenden']
What is segmented sleep? Actigraphy field validation for daytime sleep and nighttime wake,2016,['Alyssa Crittenden']
Hunter‐gatherer families and parenting,2015,['Alyssa Crittenden']
The evolution of human sleep: Technological and cultural innovation associated with sleep-wake regulation among Hadza hunter-gatherers,2017,['Alyssa Crittenden']
3D 360 surface morphometric analysis of pounding stone tools used by Hadza foragers of Tanzania: a new methodological approach for studying percussive stone artefacts,2018,['Alyssa Crittenden']
Enterocyte-associated microbiome of the Hadza hunter-gatherers,2016,['Alyssa Crittenden']
Allomaternal care and juvenile foraging among the Hadza: Implications for the evolution of cooperative breeding in humans,2009,['Alyssa Crittenden']
emotion perception in Hadza Hunter-Gatherers,2020,['Alyssa Crittenden']
Infant co-sleeping patterns and maternal sleep quality among Hadza hunter-gatherers,2018,['Alyssa Crittenden']
Does the moon influence sleep in small-scale societies?,2018,['Alyssa Crittenden']
Context facilitates performance on a classic cross-cultural emotion perception task.,2019,['Alyssa Crittenden']
To share or not to share? Social processes of learning to share food among Hadza hunter-gatherer children,2016,['Alyssa Crittenden']
Foraging strategies and diet composition of Hadza children,2009,['Alyssa Crittenden']
Kinship intensity and the use of mental states in moral judgment across societies,2020,['Alyssa Crittenden']
Changes in juvenile foraging behavior among the Hadza of Tanzania during early transition to a mixed-subsistence economy,2020,['Alyssa Crittenden']
Impact of brief roasting on starch gelatinization in whole foods and implications for plant food nutritional ecology in human evolution,2016,['Alyssa Crittenden']
Gendered movement ecology and landscape use in Hadza hunter-gatherers,2021,['Alyssa Crittenden']
"The internal, external and extended microbiomes of hominins",2020,['Alyssa Crittenden']
Dental microwear of living Hadza foragers,2019,['Alyssa Crittenden']
Toddlers in transition: linear enamel hypoplasias in the Hadza of Tanzania,2017,['Alyssa Crittenden']
Multiple perspectives on the evolution of childhood,2016,['Alyssa Crittenden']
Ancestral attachment,2014,['Alyssa Crittenden']
Effects of a mixed‐subsistence diet on the growth of Hadza children,2021,['Alyssa Crittenden']
Postpartum maternal mood among Hadza foragers of Tanzania: a mixed methods approach,2020,['Alyssa Crittenden']
Who owns poop? And other ethical dilemmas facing an anthropologist who works at the interface of biological research and indigenous rights,2019,['Alyssa Crittenden']
Culture Summary: Hadza,2019,['Alyssa Crittenden']
Patterns of paternal investment explain cross-cultural variance in jealous response,2019,['Alyssa Crittenden']
Comment on “Seasonal cycling in the gut microbiome of the Hadza hunter-gatherers of Tanzania”,2018,['Alyssa Crittenden']
Evolutionary studies of childhood,2014,['Alyssa Crittenden']
Female Subsistence Strategies and the Energetic Constraints of Motherhood: Implications for the evolution of the sexual division of labor in hominids,2003,['Alyssa Crittenden']
Postpartum Maternal Health and the Edinburgh Postnatal Depression Scale among the Hadza Foragers,2018,['Alyssa Crittenden']
Emerging issues in studies of the evolution of childhood,2016,['Alyssa Crittenden']
"Childhood: Origins, Evolution, and Implications",2016,['Alyssa Crittenden']
Activity budgets and energy expenditure among hunter-gatherer children: results from the Hadza of northern Tanzania,2014,['Alyssa Crittenden']
Diet‐derived Xeno‐autoantigen Sialic acid Promotes Inflammation‐Evidence for “Xenosialitis”,2013,['Alyssa Crittenden']
In-vitro analysis of nutrition in Hadza tubers using Hadza simulated cooking techniques,2013,['Alyssa Crittenden']
Program and abstracts for the 2012 Joint Meeting of the Society for Glycobiology & American Society for Matrix Biology,2012,['Alyssa Crittenden']
Juvenile food sharing among the Hadza hunter-gatherers of Tanzania.,2010,['Alyssa Crittenden']
Harm avoidance and mobility during middle childhood and adolescence among Hadza foragers,2021,['Alyssa Crittenden']
"In Memoriam: Frank W. Marlowe (April 17, 1954–September 25, 2019)",2020,['Alyssa Crittenden']
Hadza hunter-gatherers exhibit gender differences in space use and spatial cognition consistent with the ecology of male and female targeted foods,2019,['Alyssa Crittenden']
"Allomaternal care and the significance of naturalistic observations among contemporary foragers: A commentary on Denham’s “Alyawarra kinship, infant carrying, and alloparenting”",2015,['Alyssa Crittenden']
Subsistence strategies of the early inhabitants of southernmost California.,2009,['Alyssa Crittenden']
""" Harm avoidance and mobility during middle childhood and adolescence among Hadza foragers"": Correction.",2021,['Alyssa Crittenden']
An evolutionary theory of music needs to care about developmental timing,2021,['Alyssa Crittenden']
Where Does the Newborn Baby Sleep? Prevalence and Predictors of Postpartum Cosleeping Practices After Midwife-LED Births in the United States,2021,['Alyssa Crittenden']
Changes in Birth and Perinatal Care Practices Among Hadza Mothers in a Transitioning Food Economy,2021,['Alyssa Crittenden']
"Infant co-sleeping patterns and maternal sleep quality among Hadza hunter-gatherers (vol 4, pg 527, 2018)",2020,['Alyssa Crittenden']
"Corrigendum: The Internal, External and Extended Microbiomes of Hominins",2020,['Alyssa Crittenden']
"Frank W. Marlowe (April 17, 1954-September 25, 2019) In Memoriam",2020,['Alyssa Crittenden']
"Labor and delivery experiences, birth outcomes, and colostrum feeding among Hadza mothers of Northern Tanzania.",2020,['Alyssa Crittenden']
"The misuse of"" hunter-gatherers"" as a discreet unit in population studies",2020,['Alyssa Crittenden']
WHO OWNS POOP?,2019,['Alyssa Crittenden']
Hadza hunter-gatherer diet: chemical composition of foods and estimate of food type contribution,2018,['Alyssa Crittenden']
The effects of early nutrition transition on growth trajectories and child productivity among the Hadza of Tanzania,2018,['Alyssa Crittenden']
Hadza hunter-gatherer domiciles provide sleep sites with less overall variation in thermal stress,2018,['Alyssa Crittenden']
Sleep Health,2018,['Alyssa Crittenden']
Keep Calm and Carry On: Infant Carrying Practices and Motor Development,2018,['Alyssa Crittenden']
Linear enamel hypoplasia incidence in bush-dwelling and village Hadza from Tanzania,2017,['Alyssa Crittenden']
Oral health among the Hadza foragers of Tanzania,2017,['Alyssa Crittenden']
"Evidence that humans evolved to be natural, nighttime sleep sentinels",2017,['Alyssa Crittenden']
Anthropometric Measures of Hadza Forager Children and Juveniles: Implications for Anthropology and Human Biology,2017,['Alyssa Crittenden']
Dental microwear turnover rates in a modern hunter-gatherer population,2016,['Alyssa Crittenden']
Lipid metabolism and nutritive factors of the gut microbiota in human foragers,2016,['Alyssa Crittenden']
Emerging Issues in the Evolution of Human Childhood,2016,['Alyssa Crittenden']
Allomothers,2015,['Alyssa Crittenden']
New insights on the role of tubers in hominin evolution: Data from the Hadza hunter-gatherers of Tanzania,2014,['Alyssa Crittenden']
Assessing diet specialization of Hadza microbiota through activity and composition,2014,['Alyssa Crittenden']
Commentary: Ancestral attachment: How the evolutionary foundation of attachment informs our understanding of child maltreatment intervention.,2014,['Alyssa Crittenden']
Evolution of the Human Diet: What We Can Learn From Hunters and Gatherers,2013,['Alyssa Crittenden']
Negligible effect of cooking on nutritional value of Hadza tubers,2013,['Alyssa Crittenden']
Nutritional impact of cooking Hadza tubers,2013,['Alyssa Crittenden']
Improvements on the DMB-HPLC method for sensitive and specific detection and quantitation of bound and free non-ulosonic acids,2012,['Alyssa Crittenden']
Sex differences in dental attrition and consumption in Hadza hunter-gatherers.,2010,['Alyssa Crittenden']
Differential foraging strategies and diets of Hadza men and women.,2003,['Alyssa Crittenden']
Testing the bargaining vs. inclusive fitness models of suicidal behavior against the ethnographic record,2016,['Zachary H. Garfield']
A cross-cultural analysis of hunter-gatherer social learning,2016,['Zachary H. Garfield']
The evolutionary anthropology of political leadership,2019,['Zachary H. Garfield']
Evolutionary models of leadership,2019,['Zachary H. Garfield']
Investigating evolutionary models of leadership among recently settled Ethiopian hunter-gatherers,2020,['Zachary H. Garfield']
Universal and variable leadership dimensions across human societies,2020,['Zachary H. Garfield']
Is male androphilia a context-dependent cross-cultural universal?,2017,['Zachary H. Garfield']
"The “female fertility–social stratification–hypergyny” hypothesis of male homosexual preference: factual, conceptual and methodological errors in Barthes et al.[Commentary]",2014,['Zachary H. Garfield']
"Leadership and prestige, mothering, sexual selection, and encephalization: The computational services model",2019,['Zachary H. Garfield']
The content and structure of reputation domains across human societies: a view from the evolutionary social sciences,2021,['Zachary H. Garfield']
Religion: The WEIRDest concept in the world?,2021,['Zachary H. Garfield']
Correlates of conflict resolution across cultures,2021,['Zachary H. Garfield']
"Leadership, Prestige, and Social Learning across Traditional Societies",2019,['Zachary H. Garfield']
Dominant Acts Expressed (Buss 1981),2017,['Zachary H. Garfield']
Women’s Prosocial Dominant Acts,2017,['Zachary H. Garfield']
Men’s Egoistic Dominant Acts,2017,['Zachary H. Garfield']
Status and Prosociality in Egalitarian Societies,2012,['Zachary H. Garfield']
